activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1,1,1500,480,1000,141.3,R, ,0, , ,F, ,,1210,1,1310,49,F,01171C,F, ,F,,,,1210,0.82555,2.808,F, ,,  R, II,17, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,516,1000,149.6,R, ,0, , ,F, ,,1210,1,1310,64,F,01172B,F, ,F,,,,1210,0,2.808,F, ,,  R, II,17, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,781,1000,270,R, ,0, , ,F, ,,1210,1,1310,29,F,01172C,F, ,F,,,,1210,1.27072,2.808,F, ,,  R, II,17, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,543,1000,72.08,R, ,0, , ,F, ,,1210,1,1310,38,F,01191B,F, ,F,,,,1210,1.77429,2.808,F, ,,  R, II,19, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,534,1000,182,R, ,0, , ,F, ,,1210,1,1310,17,F,01191C,F, ,F,,,,1210,1.52082,2.808,F, ,,  R, II,19, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,149,1000,38.75,R, ,0, , ,F, ,,1210,1,1310,2,F,01192B,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, II,19, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,424,1000,125.75,R, ,0, , ,F, ,,1210,1,1310,47,F,01192C,F, ,F,,,,1210,0.57656,2.808,F, ,,  R, II,19, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,395,1000,121,R, ,0, , ,F, ,,1210,1,1310,6,F,01211B,F, ,F,,,,1210,1.28882,-1,F, ,,  R, II,21, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,318,1000,90.15,R, ,0, , ,F, ,,1210,1,1310,18,F,01211C,F, ,F,,,,1210,0.29044,2.808,F, ,,  R, II,21, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,621,1000,171.6,R, ,0, , ,F, ,,1210,1,1310,36,F,01212B,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, II,21, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,529,1000,160.8,R, ,0, , ,F, ,,1210,1,1310,50,F,01212C,F, ,F,,,,1210,0.95051,2.808,F, ,,  R, II,21, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
