item,des,externalid,owner,hits,units,aveunitday,cases,pallets,cube,unitpcase,dayshit,physqty,contnum,familycode,ti,hi,majgroup,mingroup,catagory,loccode,aisle,bay,level,position
"       48620","Villa Apron","       48620","LAD",4,12,3.000,0.200,0.008,0.076560,60,4,57.000,"","",6,4,"KD","007","","  R"," EE"," 32"," 2"," 5"
"       48620","Villa Apron","       48620","LAD",1,3,3.000,0.050,0.002,0.007180,60,1,57.000,"","",6,4,"KD","007","","  R"," HH"," 38"," 1"," 7"
"       48637","Villa Bright Flower 3pk Stretch B","       48637","LAD",1,4,4.000,0.167,0.007,0.005600,24,1,531.000,"","",6,4,"KD","018","","  R"," FF"," 34"," 2"," 4"
"       48637","Villa Bright Flower 3pk Stretch B","       48637","LAD",2,1,0.500,0.042,0.002,0.003600,24,2,531.000,"","",6,4,"KD","018","","  R"," HH"," 45"," 3"," 7"
"       48638","Villa Jungle Jumble 3pk Stretch B","       48638","LAD",1,8,8.000,0.333,0.014,0.011200,24,1,872.000,"","",6,4,"KD","018","","  R"," FF"," 21"," 3"," 7"
"       48640","Grown Fruit and Veggie 3pk Stretc","       48640","LAD",3,4,1.333,0.167,0.007,0.016800,24,3,23.000,"","",6,4,"KD","018","","  R"," FF"," 21"," 1"," 1"
"       48731","Revive 2pk Oven Mitt","       48731","LAD",2,6,3.000,0.100,0.004,0.036260,60,2,30.000,"","",6,4,"KD","007","","  R"," EE"," 29"," 3"," 1"
"       48732","REVIVE DOUBLE OVEN MITT","       48732","LAD",1,6,6.000,0.100,0.004,0.015790,60,1,78.000,"","",6,4,"KD","007","","  R"," DD"," 31"," 1"," 4"
"       48740","Eco Check Grey 2pk Pot Holder","       48740","LAD",8,6,1.000,0.100,0.004,0.112000,60,6,466.000,"","",6,4,"KD","007","","  R"," EE"," 27"," 2"," 6"
"       48741","Eco Check Grey 2pk Oven Mitt","       48741","LAD",26,6,1.000,0.100,0.004,0.430140,60,6,636.000,"","",6,4,"KD","007","","  R"," EE"," 27"," 3"," 4"
"       48742","Eco Check Grey Double Oven Mitt","       48742","LAD",2,6,3.000,0.100,0.004,0.021260,60,2,0.000,"","",6,4,"KD","007","","  R"," DD"," 23"," 1"," 2"
"       48742","Eco Check Grey Double Oven Mitt","       48742","LAD",1,18,18.000,0.300,0.013,0.031880,60,1,0.000,"","",6,4,"KD","007","","  R"," MM"," 33"," B"," 2"
"       48743","Eco Check Grey Apron","       48743","LAD",14,2,0.286,0.033,0.001,0.090970,60,7,283.000,"","",6,4,"KD","007","","  R"," DD"," 27"," 1"," 1"
"       48743","Eco Check Grey Apron","       48743","LAD",2,2,2.000,0.033,0.001,0.050010,60,1,283.000,"","",6,4,"KD","007","","  R"," MM"," 47"," B"," 1"
"       48744","Eco Check Charcoal 2pk Pot Holder","       48744","LAD",8,6,1.000,0.100,0.004,0.033500,60,6,410.000,"","",6,4,"KD","007","","  R"," DD"," 28"," 2"," 4"
"       48745","Eco Check Charcoal 2pk Oven Mitt","       48745","LAD",12,6,0.600,0.100,0.004,0.029230,60,10,88.000,"","",6,4,"KD","007","","  R"," EE"," 34"," 1"," 5"
"       48746","Eco Check Charcoal Double Oven Mi","       48746","LAD",6,6,1.200,0.100,0.004,0.055030,60,5,155.000,"","",6,4,"KD","007","","  R"," DD"," 28"," 2"," 5"
"       48747","Eco Check Charcoal Apron","       48747","LAD",16,4,0.308,0.067,0.003,0.346990,60,13,38.000,"","",6,4,"KD","007","","  R"," DD"," 23"," 1"," 3"
"       48748","Eco Check Green 2pk Pot Holder","       48748","LAD",13,6,1.200,0.100,0.004,0.068770,60,5,378.000,"","",6,4,"KD","007","","  R"," DD"," 25"," 2"," 2"
"       48749","Eco Check Green 2pk Oven Mitt","       48749","LAD",23,4,0.444,0.067,0.003,0.422990,60,9,282.000,"","",6,4,"KD","007","","  R"," EE"," 30"," 1"," 2"
"       48750","Eco Check Green Double Oven Mitt","       48750","LAD",5,5,1.000,0.083,0.003,0.043150,60,5,0.000,"","",6,4,"KD","007","","  R"," DD"," 21"," 1"," 5"
"       48751","Eco Check Green Apron","       48751","LAD",24,58,6.444,0.967,0.040,0.172900,60,9,329.000,"","",6,4,"KD","007","","  R"," DD"," 23"," 3"," 5"
