"   910989/04","  R"," CC"," 24"," 3"," 4",1,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"         10R","  R"," Z9"," 97"," 1"," 3",6,"U",1000,"U",T,F,F,F,0,"",09/09/2020 15:56:26,T
"   970042/04","  R"," BB"," 43"," 3"," 1",3,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    41084/04","  R"," BB"," 32"," 2"," 4",4,"U",50,"U",T,F,F,F,0,"",/  /     :  :,T
"    22111/04","  R"," BB"," 39"," 1"," 4",16,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    22115/04","  R"," EE","  7"," 1"," 1",2,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    22116/04","  R"," EE","  5"," 1"," 2",8,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
"    40941/02","  R"," II"," 42"," 2"," 1",12,"U",192,"U",T,F,F,F,0,"",/  /     :  :,T
"    40942/02","  R"," II"," 42"," 2"," 2",16,"U",54,"U",T,F,F,F,0,"",/  /     :  :,T
"       20397","  R"," X0"," 15"," 1"," 2",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"       11503","  R"," BB"," 33"," 1"," 2",4,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"      990030","  R"," BB"," 39"," 3"," 3",6,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"       41800","  R"," CC"," 33"," 2"," 4",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"      910319","  R"," DD"," 23"," 2"," 4",144,"U",576,"U",T,F,F,F,0,"",/  /     :  :,T
"      910326","  R"," DD"," 23"," 2"," 1",144,"U",576,"U",T,F,F,F,0,"",/  /     :  :,T
"   970630/10","  R"," II"," 22"," 2"," 6",4,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    46108/02","  R"," II"," 34"," 3"," 1",6,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"       20387","  R"," X0"," 15"," 1"," 1",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
"    30423/02","  R"," II"," 48"," 1"," 3",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    30431/02","  R"," II"," 40"," 1"," 2",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    46072/02","  R"," II"," 34"," 3"," 4",6,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
"    46073/02","  R"," II"," 34"," 3"," 5",6,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"       20303","  R"," X0"," 17"," 2"," 2",2,"C",300,"C",F,T,F,F,0,"",/  /     :  :,F
