ITEMID],[ITEMBARCODE],[QTY],[InnerBarcode],[InnerQty],[OuterBarcode],[OuterQty],[PalletBarcode],[PalletQty],[BCItemType],[BCInnerType],[BCOuterType],[BCPalletType],[InnerPfx],[OuterPfx],[PalletPfx],[MODIFIEDBY],[MODIFIEDDATETIME],[InnerModBy],[InnerModDT],[OuterModBy],[OuterModDT],[PalletModBy],[PalletModDT],[UnitTypItm],[UnitTypInnr],[UnitTypOutr],[UnitTypPllt],[ItemIDTyp],[ItemBCCfg],[InnerBCConfig],[OuterBCConfig],[PalletBCConfig],[DataAreaID],[ItemHeight],[ItemWidth],[ItemDepth],[ItemWeight],[InnerHeight],[InnerWidth],[InnerDepth],[InnerWeight],[OuterHeight],[OuterWidth],[OuterDepth],[OuterWeight],[PalletHeight],[PalletWidth],[PalletDepth],[PalletWeight],[InnerWMSQty],[OuterWMSQty],[PalletWMSQty],[INVENTDIMID],[Status]
48747/02,9314689890939,1.000000000000,19314689890936,0.000000000000,29314689890933,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 09:46:49.000,SY,2020-05-13 09:46:49.000,SY,2020-05-13 09:46:49.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48748/02,9314689890953,1.000000000000,19314689890950,6.000000000000,29314689890957,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,20,210,210,130,120,210,210,800,340,460,460,9100,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,Seasonal
48749,9314689890960,1.000000000000,19314689890967,6.000000000000,29314689890964,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,40,180,330,230,120,360,330,1380,600,360,790,15300,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,Seasonal
72244/02,2300109081893,1.000000000000,12300109081890,12.000000000000,22300109081897,144.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2020-09-11 01:56:33.000,Admin,2020-09-11 01:56:33.000,Admin,2020-09-11 01:56:33.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,320,460,100,36,320,460,1200,375,335,475,12550,0,0,0,0,12.000000000000,144.000000000000,1.000000000000,AllBlank,DeadSeason
72245/02,2300109081886,1.000000000000,12300109081883,3.000000000000,22300109081880,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2020-09-11 01:56:33.000,Admin,2020-09-11 01:56:33.000,Admin,2020-09-11 01:56:33.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,22,310,65,250,66,310,195,750,270,320,400,6000,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,DeadSeason
72247/02,2300109086188,1.000000000000,12300109086185,12.000000000000,22300109086182,144.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2020-09-11 01:56:33.000,Admin,2020-09-11 01:56:33.000,Admin,2020-09-11 01:56:33.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,2,390,390,120,24,390,390,1350,255,410,410,16650,0,0,0,0,12.000000000000,144.000000000000,1.000000000000,AllBlank,DeadSeason
72248/02,2300109086126,1.000000000000,12300109086123,2.000000000000,22300109086120,12.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,DF,2020-06-23 01:35:02.000,DF,2020-06-23 01:35:16.000,DF,2020-06-23 01:35:24.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,2.000000000000,12.000000000000,1.000000000000,AllBlank,DeadSeason
72249/02,2300109086133,1.000000000000,12300109086130,3.000000000000,22300109086137,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,DF,2020-06-23 01:36:00.000,DF,2020-06-23 01:36:12.000,DF,2020-06-23 01:36:39.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,DeadSeason
72250/27,9314689885768,1.000000000000,19314689885765,0.000000000000,29314689885762,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-06-11 10:04:47.000,SY,2020-04-07 00:36:19.000,SY,2020-06-11 10:04:49.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,8,170,327,95,0,0,0,0,400,180,380,3100,0,0,0,0,0.000000000000,24.000000000000,1.000000000000,AllBlank,DeadSeason
48738/02,9314689889674,1.000000000000,19314689889671,0.000000000000,29314689889678,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 06:57:22.000,SY,2020-05-13 06:57:22.000,SY,2020-05-13 06:57:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
