"    30856/38","  A"," DD","  4"," 2"," 4",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    47256/38","  A"," EE","  8"," 3"," 5",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    47257/38","  A"," EE","  8"," 3"," 3",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    47268/38","  A"," EE"," 12"," 2"," 3",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"       20006","  A"," AA","  1"," 1"," 1",6,"U",400,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20018","  A"," AA","  1"," 1"," 5",6,"U",400,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20387","  A"," AA","  5"," 2"," 2",6,"U",400,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    30395/38","  A"," DD","  3"," 4"," 6",36,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    30857/38","  A"," DD","  4"," 2"," 5",3,"U",48,"U",T,F,F,F,0,"",09/14/2020 07:57:58,T
"    30858/38","  A"," DD","  5"," 2"," 1",18,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    47255/38","  A"," EE"," 13"," 3"," 3",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    63462/04","  A"," BB"," 15"," 1"," 6",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    30393/38","  A"," DD","  3"," 1"," 3",36,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    30394/38","  A"," DD","  3"," 3"," 4",18,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    30855/38","  A"," DD","  3"," 3"," 3",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"       40254","  A"," BB"," 11"," 2"," 9",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       40264","  A"," BB","  7"," 4"," 9",12,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    41340/38","  A"," EE","  2"," 1"," 6",24,"U",96,"U",T,F,F,F,0,"",/  /     :  :,T
"    47260/38","  A"," EE","  6"," 3"," 3",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    47265/38","  A"," EE"," 12"," 2"," 1",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"    47330/38","  A"," EE","  4"," 2"," 6",24,"U",120,"U",T,F,F,F,0,"",/  /     :  :,T
"       10019","  A"," CC","  9"," 4"," 4",6,"U",100,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       11501","  A"," BB"," 10"," 1"," 6",4,"U",36,"U",T,F,F,F,0,"",/  /     :  :,T
"       13105","  A"," BB","  8"," 4"," 8",4,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"       13106","  A"," AA"," 10"," 5"," 9",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"  20027-3/04","  A"," AA","  1"," 2"," 2",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       20310","  A"," AA","  1"," 2"," 5",6,"U",400,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       22025","  A"," BB"," 11"," 1"," 8",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"       22026","  A"," BB"," 15"," 1"," 3",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       22028","  A"," AA","  5"," 1"," 2",2,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"    22115/04","  A"," AA"," 10"," 1"," 6",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    45981/04","  A"," BB"," 10"," 4"," 6",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    41248/04","  A"," BB"," 10"," 1"," 9",12,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    63463/04","  A"," CC","  9"," 4"," 2",6,"U",30,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41262/04","  A"," CC","  8"," 2"," 6",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"   990013/38","  A"," EE"," 12"," 4"," 1",12,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"          10","  A"," FF","  3"," 5"," 6",6,"U",1000,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    30423/04","  A"," AA"," 10"," 1"," 1",12,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    30431/04","  A"," BB","  7"," 1"," 6",24,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    47326/38","  A"," EE","  3"," 1"," 3",72,"U",144,"U",T,F,F,F,0,"",/  /     :  :,T
"    47327/38","  A"," EE","  2"," 4"," 3",20,"U",50,"U",T,F,F,F,0,"",/  /     :  :,T
"      960093","  A"," EE"," 16"," 3"," 1",5,"U",15,"U",T,F,F,F,0,"",/  /     :  :,T
"      960103","  A"," EE"," 16"," 3"," 2",6,"U",15,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       30496","  A"," EE"," 15"," 5"," 3",6,"U",144,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    22001/04","  A"," BB"," 10"," 3"," 2",6,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"    22002/04","  A"," BB","  9"," 2"," 2",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41016/04","  A"," BB"," 14"," 3"," 8",12,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    41560/38","  A"," EE","  2"," 1"," 5",6,"U",96,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41561/38","  A"," EE","  8"," 3"," 2",12,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"    30494/02","  A"," BB","  4"," 1"," 4",6,"U",144,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    40250/02","  A"," DD"," 14"," 2"," 5",6,"U",96,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    40251/02","  A"," BB"," 10"," 4"," 2",12,"U",96,"U",T,F,F,F,0,"",/  /     :  :,T
"    40252/02","  A"," AA"," 18"," 4"," 1",12,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    40253/02","  A"," EE"," 12"," 5"," 8",8,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    40261/02","  A"," AA"," 18"," 2"," 4",12,"U",96,"U",T,F,F,F,0,"",/  /     :  :,T
"    40262/02","  A"," BB","  7"," 3"," 2",6,"U",48,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    40263/02","  A"," AA"," 18"," 5"," 5",6,"U",48,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"         10T","  A"," FF","  3"," 6"," 9",6,"U",2,"C",T,F,F,F,0,"",09/09/2020 15:56:33,T
"    31138/38","  A"," DD","  4"," 3"," 6",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"       30431","  A"," AA"," 18"," 4"," 3",6,"U",144,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    70033/04","  A"," BB"," 14"," 2"," 1",6,"U",24,"U",T,F,F,F,0,"",/  /     :  :,T
"    70034/04","  A"," DD"," 17"," 1"," 4",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    70035/04","  A"," BB"," 13"," 1"," 5",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    70036/04","  A"," DD"," 17"," 1"," 3",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    70040/04","  A"," DD"," 17"," 1"," 2",24,"U",48,"U",T,F,F,F,0,"",/  /     :  :,T
"    70042/04","  A"," DD"," 17"," 1"," 1",6,"U",2,"C",T,F,F,F,0,"",09/09/2020 15:56:33,T
"    70060/04","  A"," AA"," 14"," 1"," 4",96,"U",192,"U",T,F,F,F,0,"",/  /     :  :,T
"    41677/38","  A"," EE","  9"," 2"," 6",6,"U",12,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    41678/38","  A"," EE","  9"," 1"," 2",6,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"    22050/38","  A"," EE","  6"," 2"," 6",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"       13118","  A"," BB","  8"," 1"," 4",4,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"      896033","  A"," BB","  9"," 1"," 2",6,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"      896035","  A"," BB","  6"," 4"," 4",12,"U",12,"U",T,F,F,F,0,"",/  /     :  :,T
"    40287/04","  A"," CC","  6"," 5"," 5",6,"U",72,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    40288/04","  A"," AA"," 18"," 4"," 2",12,"U",72,"U",T,F,F,F,0,"",/  /     :  :,T
"    70054/38","  A"," EE"," 15"," 2"," 2",6,"U",24,"U",T,F,F,F,0,"",09/09/2020 15:56:32,T
"    42694/04","  A"," AA"," 16"," 3"," 6",144,"U",288,"U",T,F,F,F,0,"",/  /     :  :,T
